channel_title,total_likes,total_dislikes,total_views,total_trending_videos
Gerry Litwin,688190,52702,38140887,12
Gigi Gorgeous,74520,46595,2505629,7
GinWigmoreVEVO,814,27,10682,2
Glam&Gore,802161,7791,9775183,24
Glamour Magazine,370347,7430,11532705,8
GoDucksdotcom,20,4,1391,2
GohmertTX01,2069,1318,260000,6
Golden State Warriors,9194,123,513465,4
Gondwana Collection Namibia,1878,59,213584,1
Good Morning America,77304,1978,4252433,23
Good Morning Britain,3657,450,702210,7
Good Mythical Morning,864332,102291,38962432,57
Goodwillsandusky,7688,164,1064013,4
Google,601708,37964,17218420,20
GoPro,277131,5362,18077756,31
GQ,261404,9725,11399137,17
Grace Helbig,556525,9148,9487102,52
GraceVanderWaalVEVO,1536151,14467,18562724,13
Graham The Christian,391317,45956,12484874,7
grandayy,349680,11435,5050182,6
Grandpa Kitchen,115852,2478,3023782,7
grav3yardgirl,127646,5666,2798217,11
GrDrtube,42,0,14289,1
Great Big Story,390559,6030,13713854,72
GreatScott!,94187,2359,2270837,11
greeenpro,187,33,33547,3
Green Day,581275,12502,8817596,11
Gregg Peterson,56,173,20581,3
greyson97,21398,117,219215,5
Grist,37,2,3133,1
Groupon,7557,1663,26402350,7
Guardian News,102314,30766,17929278,53
Guava Juice,112851,15976,5706756,6
Guinness World Records,681,25,28539,1
Guldies,51856,254,668256,5
Gus Johnson,985535,47049,22635550,44
Guy Tang,206386,9198,7508430,7
GwenStefaniVEVO,21607,1620,1414601,6
gzumwalt,360,180,81483,6
H&M,29868,2597,2623070,8
HACKADAY,1092,33,36823,14
HaileeSteinfeldVEVO,1488006,16658,39712033,9
HaimVEVO,43455,941,1128822,5
Hak5,599,119,22417,2
Half as Interesting,539730,18579,18013582,39
Halfway Anywhere,2617,38,231541,4
HalseyVEVO,1745618,28386,29834129,7
Hamilton: An American Musical,215956,4599,3672322,7
Hannah Meloche,25192,153,327407,4
Hannah Stocking,2649294,160148,76219450,42
Hannah Witton,6524,56,54584,2
HANSE Ã­â€¢Å“Ã¬â€žÂ¸,49759,508,1230525,10
HANSON,17078,784,688533,10
HARRY,0,0,15311,4
HarryStylesVEVO,1619656,18449,13938107,6
Haru the Shiba Inu,5917,65,109804,2
Hayley Kiyoko,824502,8183,11254749,6
Hazel Hayes,57382,330,1021787,6
HBO,624921,29712,114005214,35
Healthcare Triage,7486,51,119893,8
Helen Anderson,12284,250,232032,3
HellthyJunkFood,486215,26466,15348987,51
Henry Prince Mak,77238,1400,552535,6
heroedelahistoria,511,30,294757,6
Hevesh5,500694,29933,41078824,36
heyitsfeiii,125807,1731,3295686,5
Highlight Heaven,247385,17107,15912747,15
Highsnobiety,4017,129,144133,5
HiHo Kids,11375,82,293612,2
Hillsong Worship,30419,545,632268,4
Hin Nya,7032,77,218855,1
Hollyscoop,841,102,79137,3
HollywoodLife,207679,55561,39219073,19
Honda,1883,601,347229,6
Hope For Paws - Official Rescue Channel,702346,8930,15873226,29
Hopeless Records,44252,537,661607,3
Horizon Productions SFL,68631,4059,11218319,9
HOT 97,328942,2859,7850299,6
Hot Dad,1172,18,13676,1
HOTSPOTATL,43,12,9331,3
HouzzTV,53220,1252,3003540,7
How Ridiculous,27566,326,913918,4
How To Cake It,439035,5641,10862282,23
How To Cook That,229220,5746,7427326,30
How to DAD,35311,1389,1122334,8
How To Make Everything,136714,4269,5041776,17
Howl Of A Dog,207941,2559,6549569,5
HowToBasic,303361,37153,6599715,3
hp_overload,186067,24962,6599794,7
HQVideoDude,41464,164,717486,5
Hudson Moore,15891,719,1581744,8
hudsonunionsociety,0,0,233441,7
Hulu,48163,4603,44677749,14
Humble Design,131,13,23634,1
Hunter Hayes,50415,1239,1344582,19
Hush Kit,8283,2954,1241321,5
Huw Parkinson,1685,19,82573,6
Huxley Berg Studios,93486,3789,4262244,9
HvdH-Plane-Spotter,135959,5461,24475287,5
hwow,33289,383,1215647,7
Hybrid Network,572,9,17081,2
Hydraulic Press Channel,123110,5640,4600322,13
HyundaiUSA,7484,14827,83086102,11
I Like To Make Stuff,115220,2287,4634436,4
I'm With Her,121,3,6148,1
I.T. Channel,57509,1030,1489992,6
IAmAnneMarie,94050,645,1726336,5
ibighit,23141028,298418,224009476,13
iDB,220,8,8436,2
IFC,19978,624,1189632,8
IFC Films,12348,5240,1149718,14
iggyazaleamusicVEVO,624147,55579,13219515,7
IGN,233596,15302,11286529,33
IGN News,4078,377,110977,10
iHasCupquake,250915,4693,5823433,7
IISuperwomanII,7910791,162095,109652282,56
iJustine,785496,74070,24563977,63
iKON,2242529,20612,33246211,5
ilikeweylie,19586,194,378807,5
ImagineDragonsVEVO,1546250,32969,32668620,23
In Case You Missed It,1114,11,120474,2
Inanna Sarkis,316344,13081,9252139,7
IncubusVEVO,56319,2016,1403575,10
India Love,38960,22648,1282828,6
India Survival Guide,38353,499,1256995,3
Ingrid Nilsen,50851,3902,1372218,14
INQUIRER.net,6926,193,815327,9
Inside Edition,373690,37225,22910839,66
Inside the Magic,25970,28132,3189718,9
INSIDER,648096,16218,28820579,80
Interscope Records,11212,355,705137,4
Inthefrow,18875,497,380708,4
Intuit,93126,32061,46410511,4
Invisible People,3071,111,74868,2
iotexpert,48,0,10067,3
IsraeliPM,145,18,7681,2
It's a small world,8125,338,105203,4
It's a Southern Thing,29512,1923,1572514,6
It's Okay To Be Smart,147021,1742,3000905,10
itsAlexClark,948267,24895,23030539,31
Itzztonytony,999,73,600850,2
Izac Less,9621,218,276540,3
J Gasser,7,4,4468,4
J S,57,1220,442190,2
J.J. McCullough,51165,14941,2238989,12
JÃƒÂ¡n IlavskÃƒÂ½,66011,995,3281173,4
Jack and Dean,104175,784,738059,5
Jack Coyne,158566,4569,3387722,11
Jackie Aina,2742621,48991,33900092,48
JackJohnsonVEVO,20946,575,543788,9
jacksfilms,4186145,59036,61101935,48
JackWhiteVEVO,130392,12798,6361229,12
Jaclyn Hill,595413,18223,10384088,12
Jacob Collier,49365,512,662097,6
Jaiden Animations,1928727,25357,28945742,10
Jake Roper,5845,167,143597,1
Jalopnik,3282,885,234387,5
James Charles,3211422,93917,38915376,31
James Veitch,9122,120,139989,1
JamesAVEVO,275421,1779,5465397,5
JamesBayVEVO,219397,8694,5049890,12
JamesBlakeVEVO,51041,3151,1894274,6
Jamie Demeter,826,10,163780,1
Janelle MonÃƒÂ¡e,33411,4014,2283498,6
JanPaul123,29,0,4253,1
JarJar Abrams,15528,380,643117,1
Jason Derulo,182706,8403,8524177,4
Jason Yu,76691,3023,2615721,6
JasonAldeanVEVO,138588,4829,7044089,7
JAY,4491,126,304415,4
JayRockVEVO,1651615,56298,43409357,6
JayZVEVO,566096,54312,18797516,5
Jeep,119137,4716,88158175,9
jeffreestar,1634885,42758,26703095,13
Jenn Im,119641,960,1504612,6
JennaMarbles,3461236,38005,49803463,19
jenniferhudsonVEVO,87617,2846,2461736,7
JenniferLopezVEVO,888483,73318,55649039,4
jennxpenn,304935,5865,3956094,12
Jenny Hanell,3,0,1827,1
Jenny Nicholson,333641,29443,6761567,42
Jeopardy!,44793,1065,4801836,7
jeremiah johnson,16,15,12749,4
Jeremy Jahns,571516,25627,17197588,26
JerryRigEverything,675755,16505,14285718,35
Jesse,357785,7065,5529291,8
Jessica Braun | JAMbeauty89,15925,658,354169,5
Jessica Clements,33606,355,596663,4
Jessica Kellgren-Fozard,16421,171,142863,6
Jessica Vu,56574,930,923493,7
JessieJVEVO,85251,1437,1647502,3
jessiepaege,217938,3093,1874310,15
Jessii Vee,29954,354,497080,5
JheneAikoVEVO,536866,7821,12361863,6
JimBrowski 96HourNews,67,28,78474,3
Jimmy Kimmel Live,1296805,148434,77585536,79
JK Brickworks,15624,260,586820,6
Joan Kim,34859,348,513000,8
JoergSprave,30423,198,581166,5
Joey Graceffa,1521232,22152,20183463,25
John Campea,77788,9160,2411621,43
John Lewis,233997,43667,30557393,4
John Maclean,36810,8951,1218763,7
John Sellars,30,0,7936,5
John Varvatos,360,3,12281,3
JOLLY,155699,3366,6411264,22
Jon B.,23497,1198,719831,6
Jon Olsson,26725,1256,693911,3
Jonathan Morrison,275092,21087,8103086,20
JonTronShow,1257906,25648,19103910,6
Jordan Wilson,295036,13651,15308631,9
Josh Groban,43322,2081,1636690,15
Josh Levine,53,0,11638,6
Joshua Levin,117,0,10845,2
JP & Julia,24266,1473,1096341,4
JuJu Smith-Schuster,55952,1317,1704488,4
Julien Solomita,90850,217,805019,6
JunsKitchen,2380627,14964,35328417,24
Just Between Us,54792,2490,1227100,11
Just Jared Jr,4150,12089,864971,5
Just Marcus,3091,47,46706,1
Just Wow me,125408,4468,15864924,8
justintimberlakeVEVO,4927766,526614,232092388,34
jypentertainment,10471609,740955,276291969,26
K Yuen,181,79,33260,1
Kandee Johnson,138946,11874,5197937,20
KaneBrownVEVO,144955,5632,6086269,15
Kanimuna Kisaka,196,92,42088,4
Kaplamino,217435,1391,7173978,9
Karim Jovian,7427,203,91110,4
Karina Garcia,279523,7347,9219130,6
Kat Cunning,249,36,65739,3
KATC,11856,1117,1680353,5
KathleenLights,472204,6580,8171877,18
Katy Perry,6243,106,56012,1
KatyPerryVEVO,8660466,1669622,273333649,18
Katzun,118796,1435,1358038,8
kawaiisweetworld,12977,173,238467,3
Kayley Melissa,25765,298,391075,11
KBAK - KBFX - Eyewitness News - BakersfieldNow,106778,3797,8080063,8
KBS World TV,464069,4590,7361683,3
KBSKpop,623072,16275,8346693,8
kehlani parrish,249116,3031,4721197,9
Keith Urban,33504,3377,1962651,6
KeithUrbanVEVO,97485,5790,4671903,14
Keke Palmer,117993,4598,1940696,14
Kelly Clarkson,45648,1425,1095642,15
Kelly Eden,6588,586,130715,5
KendrickLamarVEVO,8022003,132347,173712654,24
Kerry Wong,200,3,10247,3
Kevin Durant,24642,507,728354,4
Kevin Noonan,206,5,66740,5
Kevin Rabatin,8,0,7087,3
Kevin Stein,6,0,7151,3
KFC,22150,29336,3225221,7
KFlayVEVO,21539,382,310355,6
KhalidVEVO,1877115,28340,31235543,16
Kia Motors America,25971,1381,18470406,7
KickThePj,15262,26,83200,1
kimbramusic,27645,1147,596655,3
KIND Snacks,515,220,1597750,6
Kingsley,11895,29,131287,5
KipMooreVEVO,16147,1092,857590,6
KISS FM UK,11478,322,506043,6
Kita Osaka,63,6,16910,3
Kitchen Nightmares,419996,11451,35983552,19
Kitten Lady,40650,194,543681,7
KKandbabyJ,196614,2035,2915320,9
Klossy,234271,2449,5933371,17
kmichelle,12950,454,236609,2
Kortney Steury,16685,463,1450041,4
Kotaku,9099,1180,684418,6
Kraft Brand,2814,1739,1248146,7
KSNV News 3 Las Vegas,57,59,169511,1
KTVU,12796,216,1567786,5
Kurzgesagt Ã¢â‚¬â€œ In a Nutshell,4146100,128428,70575700,34
KygoOfficialVEVO,877829,11429,19071153,7
Kyle Gunderson,4669,188,355321,5
Kyle Jennermann,45377,1566,1673771,11
Kylie Cosmetics,453720,18747,11654705,8
Kylie Jenner,0,0,461064419,10
KylieMinogueOnVEVO,170167,6665,5572363,6
L2inc,8021,191,1029076,3
LadBaby Official,55092,1222,1911447,10
ladygagaarraza,1425,28,18916,1
LadyGagaVEVO,1884702,37855,30742191,15
LaMadelynn,31027,1049,566144,14
Lamborghini,922,25,43585,2
Lame Videos,37320,3793,2583029,3
Land Rover,238654,5670,14019124,7
Lane Anderson,27294,2705,1679819,3
lara6683,49769,526,1343869,7
LastWeekTonight,1760120,121317,59392739,17
Late Night with Seth Meyers,908477,85546,82677166,85
Late Show with David Letterman,2696,49,386441,2
LaToya Forever,17054,146,240801,5
Laura in the Kitchen,107849,3071,2945684,26
Laura Kampf,97900,2711,1818974,16
Laura Lee,165547,4132,3244244,6
LaurDIY,24649,193,355429,1
Lauren Elizabeth,16218,899,336452,5
Lauv,590921,3839,12255131,13
Lawrence Livermore National Laboratory,26,4,30361,1
LD Entertainment,1837,218,3044534,6
LecraeVEVO,111275,4557,2695370,13
Legendary,447474,36627,37558556,7
legofreedom1,2107,8,81709,5
Lele Pons,11868032,525701,245226624,43
leonalewis,96009,683,1014765,5
Leroy Sanchez,705742,3942,7219025,12
Let Me Explain Studios,536162,12590,9030647,6
LetsGoWarriors,147,13,16305,1
LexusVehicles,5380,444,707265,7
LGR,27507,295,613475,3
Liam Gallagher,30071,324,651947,3
LiamPayneVEVO,288172,1446,1787999,5
Life Noggin,1285548,41131,37238007,81
LifeAccordingToJimmy,192450,1345,1737228,8
Lifetime,892,186,277438,5
Like Stories of Old,17582,348,527044,3
Lil Peep,1171726,8715,19266150,6
LIL UZI VERT,1488571,87398,45907542,8
Lil Wayne,1040894,54293,42913354,9
Lily Pebbles,3287,77,91167,1
Lindsey Stirling,1399496,18463,24248935,16
Linkin Park,1567596,15601,19353808,23
Linus Tech Tips,1135679,79683,37092950,32
Lionsgate Movies,292803,4972,46971160,7
Lip Sync Battle,115574,6057,7862787,34
Lisa Eldridge,322412,3575,6054114,19
lisbug,21987,1189,315699,5
LissieVEVO,6411,53,101583,6
littleBits Electronics,48,3,5361,3
littlemixVEVO,1314486,12103,14241026,10
LIVEKellyandRyan,19351,969,2353851,27
Livia Giustiniani,184,24,200257,4
Liza Koshy,11124040,106904,130541992,27
LoeyLane,5233,2250,1716674,7
LOFTON SHAW,40,2,10437,2
Lofty Pursuits,127769,2722,2953345,5
Logan Paul Vlogs,31545290,13847251,484356303,24
LOL Network,1140520,25964,54230890,10
LOOK MUM NO COMPUTER,439593,17801,15703449,10
Looper,115392,13070,11484255,13
Lorraine,10287,445,1567723,10
Los Angeles Times,618,1625,256597,10
Loudwire,3406,109,108570,5
LouisTomlinsonVEVO,2057315,10278,14971040,6
Lucas,153418,41023,3079154,12
Lucas the Spider,4106632,86628,81834968,16
Lucy Moon,36517,587,532472,12
lugeyps3,1892,120,75807,3
lugnutsoldcrap,30,0,13061,2
LuisFonsiVEVO,16671426,753037,534738794,10
LukeBryanVEVO,66448,1889,1835018,15
LukeCombsVEVO,123610,3863,4167194,12
LustreLux,65998,1769,1152138,7
Lyft,9969,417,10113686,9
MÃƒÂ¡quina Voadora,5294,125,942188,6
MaccabeatsVideos,14595,425,922695,6
Macklemore LLC,1286582,32144,34127002,13
Maddie Lymburner,3037,160,104116,4
Maddie Ziegler,353219,3646,5432939,11
Madelaine Petsch,1311785,6505,16664356,34
Madmorda,144,1,4541,1
Maggie Lindemann,33688,201,312655,3
Maggie Smith KÃƒÂ¼hn,41,0,3411,1
Magnolia Pictures & Magnet Releasing,3682,304,383670,6
Major Lazer,1005473,18568,25516159,15
Maker's Box,135,5,25780,3
Makeupshayla,119330,3495,1819491,6
Malik Nabee,1532,670,846155,3
Mamrie Hart,27941,267,382966,3
Man About Cake,113033,1289,2611893,16
MandisaVEVO,23948,415,765649,5
Manny Mua,480126,11525,8104400,6
Marco Reps,9711,98,225914,7
Marcos Horacio,574,24,35332,4
MariahCareyVEVO,217103,13375,5149796,12
mariahxlambily,9365,2150,7763315,7
Marie McGann,161,46,51051,6
MARIO TESTINO,377,10,36452,5
marjolijn2,570,3,94077,3
Mark Ferris,21178,146,183572,4
Mark Linsangan,874,28,18783,2
Mark Rober,2260028,51669,79383365,20
Mark Sales,89358,6450,11206205,9
Markiplier,197425,2457,3296098,5
Maroon5VEVO,5170543,128669,139792531,19
Marques Brownlee,5282220,111929,96943703,66
marshmello,5673912,90580,106357042,21
Marteen Estevez,7049,79,188200,5
Martin Garrix,1570397,19332,27250257,7
Marvel Entertainment,24814715,457706,776328353,47
Marzia,1397570,15075,16227224,35
Mashable Daily,39815,5148,4292643,6
Mashed,49482,4343,5488331,7
MassLive,4265,494,696323,7
MassMutual,0,0,179241,4
MasterClass,5293,49,8291604,4
Masters Of The Sun,75,0,14142,3
Matoma,4054,55,56602,3
matt,119529,7243,6110345,8
Matt and Kim,19775,1714,922543,6
Matt Steffanina,85905,860,1345797,4
MatthewSantoro,64331,69457,1463506,4
Matthias,828954,18991,19048351,22
Matthias Wandel,230611,24591,16098820,19
MattMasonPhotography,279,23,194693,2
Max Fagin,7656,734,2242004,7
Max Hertan,498,53,34746,4
Max Joseph,141731,2413,895352,1
Max Skipper,48327,1028,2000143,7
Mayim Bialik,39163,3597,631958,16
Maymo,164489,16361,14521677,9
Mayo Clinic,1896,74,237307,1
mayratouchofglam,11306,870,345015,3
MAZELEE,83965,6096,1886026,6
McDonald's,438,170,1339491,4
MDNA SKIN,920,263,109222,2
Mecum Auctions,724,107,184459,2
MeganBatoon,9187,448,239621,3
melodysheep,12962,182,154695,5
Mental Floss,35803,1818,1160661,25
Mercedes-Benz,1836,66,82801,2
Merrell Twins Live,48671,823,910520,14
merrelltwins,109480,1795,1693093,4
MGM,7250,912,18178781,5
MGMTVEVO,153659,3969,4413729,7
Michael BublÃƒÂ©,3654,173,772722,3
Michael Dapaah,139017,1299,3128136,9
Michael Rigsby,26,0,6771,4
Michelle Khare,171403,21100,5303023,33
Michelob ULTRA,55467,22652,25810875,9
MickMake,161,2,3237,1
MiddleKidsVEVO,883,33,32433,2
Midnight Video,19809,500,258080,4
MigosVEVO,3727539,177918,122134908,20
MiguelVEVO,243813,2617,6006029,11
Mike Austin,326569,26511,42503849,9
Mike Boyd,566148,5570,12026638,20
Mike Diva,43989,2334,539059,6
Mike H,173,0,35257,4
mike m,768,1452,102560,1
Mike Olbinski,491,3,8177,1
Mikey Murphy,351470,1857,4047328,6
MILCK,613,4,10668,2
Milkmen Design,28,0,20507,4
Millie T,105278,2673,1957326,7
MinuteEarth,62104,2254,1363236,7
Miranda Sings,601059,26120,10273595,25
misleadingsilhouette,287,9,45096,1
Miss Universe,23391,2143,3889363,6
Missguided,18,0,4371,1
Missouri Star Quilt Company,11028,730,401909,9
MisterWivesVEVO,7135,127,83853,5
MITCHELL WIGGS,172500,2240,4549074,3
mittromney,5578,8429,501831,6
MK Dons,85,0,58437,3
MLB,62,0,36411,4
MLG Highlights,95333,261145,38629388,15
MLive,209299,18781,17672778,16
mmschocolate,60164,2121,4856227,15
MN khan,9281,1557,6802599,5
Mnet K-POP,2046222,37670,29980157,7
MOBO Awards,1471,97,139451,4
Moby,27532,1081,817445,6
MODSUN,5137,2646,180919,1
Molly Burke,41578,1172,1026401,10
Mom Will Be Proud,661,46,56466,2
Momentum Pictures,683,165,153584,9
MOMOMOYOUTHVEVO,74499,1033,1660223,2
monatheband,8704,133,296708,2
"monday.com, formerly dapulse",58,0,15544,3
Monster Cable Products,123045,52667,4355010,9
Monster Energy,3498,86,213682,2
MoorInfo,22468,3073,958422,6
MoreZoella,323221,3236,5596985,6
Morgan Adams,1040197,18928,12788114,15
Motherboard,91385,2498,3594802,8
Mountain Dew,16567,364,721569,2
Movie Munchies,1902,912,607934,5
Movie'n'co UK,4395,49,124733,4
MovieAccessTrailers,599,153,55746,3
Movieclips Coming Soon,3133,47,782848,8
Movieclips Film Festivals & Indie Films,177,11,26033,1
Movieclips Trailers,156499,321689,11481232,23
Mr Ben Brown,7152,117,135026,4
Mr Sunday Movies,468342,8265,11271625,14
Mr. Kate,1246060,13745,21265089,24
MrBeast,833375,53225,22068205,7
MrMobile [Michael Fisher],50824,502,1155974,4
MrNorrisVideos,1392,104,255161,2
MrTreknation,14918,1588,1181377,7
MsAaliyahJay,29069,806,451113,2
MSNBC,35110,10434,4780540,37
MTV International,43026,1022,1969687,6
mugumogu,22729,200,477173,10
Munchies,257890,6417,8999805,20
Muse,557461,30176,15128228,7
Muselk,113751,3864,3056994,6
Must Love Science,217,5,11924,2
Mustache Wax,5666,64,89905,3
mvt.ias,6451,565,383216,3
My Self Reliance,75296,1278,2024741,12
My Virgin Kitchen,26118,776,679545,7
MyHarto,161011,20263,3728970,16
MyLifeAsEva,309788,10914,4809601,7
MYSTERY SCIENCE THEATER 3000,8112,601,229716,10
Na So We See Am,37,0,5933,3
Nahre Sol,242,0,5149,1
NARLtv,37,6,7244,2
NASA,5229,149,106127,3
NASA Goddard,1653,289,198191,5
NASA Jet Propulsion Laboratory,62073,2565,8056076,8
NASCAR,1798,315,182590,4
Nat Geo WILD,545,3,61977,1
Natalies Outlet,1037849,8831,10180105,6
Nathan C,844,927,215552,5
Nathan Robinson,20927,196,1067078,4
National Geographic,210354,14510,10369604,41
National Safety Council,57,1,6832,3
Navenanthen Gepardieu,291,8,84501,4
NBA,450357,49241,33632887,94
NBA Highlights Ã‚Â· YouTube,4197,5360,2063293,7
NBA on ESPN,261,19,49357,5
NBA on TNT,60705,3853,6262486,7
NBA Stats All Seasons,8976,252,768746,5
NBC,625770,268173,33772031,15
NBC News,128610,117328,11780242,62
NBC Sports,62409,6905,6839205,24
negermano,9,0,5209,2
Neil Fraser,16,0,3812,2
neilyoungchannel,2312,86,149839,2
Nerdist,97586,3943,2581366,12
Nerdwriter1,1104445,13002,16602729,40
Netflix,820370,47285,41710723,95
Netflix Asia,52837,2396,4228105,7
New England Patriots,7907,789,697340,7
New Orleans Saints on NOLA.com,13790,1530,3175208,9
New Scientist,111,14,465893,1
New York Daily News,9414,2365,2430114,8
New York Magazine,66,0,6633,2
News 5 Cleveland,7060,1308,1223758,2
Newsflare,31043,367,1813073,6
NewsFunnies,4837,481,1332631,6
Newsy,143,36,4953,6
NFL,1355245,213130,124942646,99
NFL Network,111207,5013,12777656,9
NFL World,1140,861,351884,6
NFVEVO,1285326,22252,21923445,9
NiallHoranVEVO,1074275,6638,6658698,10
Nick Ramos,2433,3490,6436629,5
Nickelback,92622,4480,2163388,7
Nickelodeon,7612,1131,222821,3
Nicki Shields,675,53,102765,3
nickjonas,17292,400,495637,9
NickJonasVEVO,371569,5787,7069856,25
Nicol Concilio,107403,4608,2336425,7
Nicole Guerriero,31012,784,602739,2
nigahiga,3452454,55082,56404154,19
Nike,631761,43678,25776205,10
Niki and Gabi,711874,21899,19531458,10
Nikita Dragun,258621,4142,3629441,8
NikkieTutorials,5046234,48738,58169712,28
Nile Wilson,123618,4047,3508054,11
NinaNesbittMusicVEVO,75182,673,1198042,5
Nintendo,2867520,259662,93402960,40
NitroV2,6359,474,524217,6
NIXOLAS,16483,518,680855,8
NJ.com,60265,35956,13321604,18
Noah Nicholls,17479,578,5444065,4
NoahCyrusVEVO,500584,14534,8938720,9
NoahKahanVEVO,2008,22,32509,3
Nobrand,11191,814,464396,4
NOLA.com,1757,2360,167121,7
nothorwitzer,5275,688,317049,8
NOVA's Secret Life of Scientists and Engineers,118,2,12740,4
Now You See It,61197,1161,1196375,5
NowThis World,46444,7095,3513639,5
Numberphile,135223,1023,2669307,12
NWSSanDiego,104,6,19932,4
NZPoliceRecruitment,90279,3045,3921025,6
Obama Foundation,5910,267,169118,3
Oceana,132,5,36420,5
officer401,23868,719,604280,5
Official Charts,671,80,218781,10
officialcharlixcx,111708,1888,2005775,12
OjO Commuter Scooter by OjO Electric,6,1,1706,2
OK Go,517934,27983,41183174,7
OlanRogers,77918,1689,1152781,6
Olympic,47867,8391,4670431,10
Omaze,18303,272,495347,9
ombremor,3315,35,612401,5
Omeleto,232090,25884,11656567,14
"One List , One Life",4111,507,241520,6
ONE Media,158968,62158,22043556,21
OneBitMusicVEVO,128217,5801,3110803,3
onsetfacilities.com,2980,44,404058,1
Onur AltuÃ„Å¸ Sever,332,24,106135,6
Open Road Films,48156,3244,20319703,7
Orion Pictures,31961,4342,8933850,7
Oscar Fury,586,47,78493,4
Oscars,151995,38259,11704560,8
Outback Steakhouse,49,4,38782,4
OVO Sound,3766570,68821,65363750,6
Ozuna,67227,1473,1498866,1
PAC ENTRETENIMENTO / DJ IVAN DAVIS,6398,147,548778,3
Pac-12 Networks,0,0,189886,6
Palo Alto Online,3,0,2116,3
Panic! At The Disco,1441350,13737,15236171,12
Paramount Network,46417,147511,5482985,8
Paramount Pictures,2032120,54321,177775273,33
Paris Hilton,0,0,1558854,6
