channel_title,Total Views,Total Trending videos,Like to Dislike Ratio
YouTube Spotlight,783298628,11,1
Marvel Entertainment,776328353,47,54
LuisFonsiVEVO,534738794,10,22
Logan Paul Vlogs,484356303,24,2
Universal Pictures,461273964,53,20
EminemVEVO,416007924,31,21
GEazyMusicVEVO,415888915,31,25
Ed Sheeran,400504946,17,61
DisneyÃ¢â‚¬Â¢Pixar,371016286,18,34
20th Century Fox,344947728,68,35
Dude Perfect,332128345,25,72
jypentertainment,276291969,26,14
KatyPerryVEVO,273333649,18,5
SMTOWN,256987943,47,69
5-Minute Crafts,249591883,22,5
Lele Pons,245226624,43,22
TaylorSwiftVEVO,244182424,14,19
justintimberlakeVEVO,232092388,34,9
ibighit,224009476,13,77
Sony Pictures Entertainment,215449430,39,8
Bruno Mars,213126073,15,30
SpaceX,191262816,24,33
Warner Bros. Pictures,189379185,73,5
Saturday Night Live,182287923,80,8
DemiLovatoVEVO,181177688,22,56
Paramount Pictures,177775273,33,37
KendrickLamarVEVO,173712654,24,60
WWE,170551952,83,33
CaseyNeistat,164914790,52,19
The Film Theorists,144650505,38,19
Maroon5VEVO,139792531,19,40
The Slow Mo Guys,139307255,45,57
PinkVEVO,133897758,18,28
Bad Lip Reading,131462037,40,27
BostonDynamics,130744978,20,35
Liza Koshy,130541992,27,104
Cardi B,129689285,14,18
Dua Lipa,124992796,13,41
NFL,124942646,99,6
WIRED,124237402,70,46
The Late Late Show with James Corden,122739227,71,30
shakiraVEVO,122400297,7,5
MigosVEVO,122134908,20,20
ChainsmokersVEVO,118870020,21,24
SelenaGomezVEVO,116603411,18,52
Simply Nailogical,116445329,53,108
Screen Junkies,114955368,78,35
HBO,114005214,35,21
Safiya Nygaard,113590188,42,89
Ram Trucks,110711462,9,0
Vevo,110333348,8,24
IISuperwomanII,109652282,56,48
marshmello,106357042,21,62
Bud Light,104489909,7,3
FBE,103516267,50,17
CinemaSins,98660965,57,16
Marques Brownlee,96943703,66,47
Nintendo,93402960,40,11
Jeep,88158175,9,25
Turkish Airlines,86666242,7,12
FiftyShadesVEVO,86648549,25,62
First We Feast,84377565,93,25
HyundaiUSA,83086102,11,0
TheEllenShow,82770028,86,33
Late Night with Seth Meyers,82677166,85,10
Lucas the Spider,81834968,16,47
Mark Rober,79383365,20,43
Jimmy Kimmel Live,77585536,79,8
Smosh,76700739,57,13
Hannah Stocking,76219450,42,16
Brave Wilderness,74584387,35,54
Anwar Jibawi,74444019,42,33
Rudy Mancuso,73772856,28,50
Collins Key,73162789,8,54
Kurzgesagt Ã¢â‚¬â€œ In a Nutshell,70575700,34,32
CamilaCabelloVEVO,70049199,17,85
ExplosmEntertainment,69368674,56,33
The Tonight Show Starring Jimmy Fallon,68543272,91,17
OVO Sound,65363750,6,54
The ACE Family,64609976,9,113
SiaVEVO,64602694,33,36
Vox,63874340,95,9
Vogue,63603286,58,86
jacksfilms,61101935,48,70
Troom Troom,60865590,13,4
The Late Show with Stephen Colbert,60734102,85,6
Billboard,59406754,39,59
LastWeekTonight,59392739,17,14
NikkieTutorials,58169712,28,103
1theK (Ã¬â€ºÂÃ«Ââ€Ã¬Â¼â‚¬Ã¬ÂÂ´),57375949,19,57
nigahiga,56404154,19,62
JenniferLopezVEVO,55649039,4,12
Calvin Klein,55096553,5,1
BuzzFeedVideo,54433004,63,13
LOL Network,54230890,10,43
The Graham Norton Show,53790378,52,34
BBC Radio 1,53244375,47,75
SZAVEVO,51729360,16,7
CollegeHumor,51641920,70,19
JennaMarbles,49803463,19,91
Dwarf Mamba,49190093,8,42
The King of Random,48705428,56,8
ThomasRhettVEVO,48557588,11,29
Lionsgate Movies,46971160,7,58
Intuit,46410511,4,2
Star Wars,46105348,42,7
TRYANGLE FILMS,46062940,6,23
TroyeSivanVEVO,45972812,16,56
Unbox Therapy,45970446,17,21
LIL UZI VERT,45907542,8,17
TheOdd1sOut,45449800,7,83
TheAngryGrandpaShow,44963723,8,73
Hulu,44677749,14,10
Conor Maynard,44469933,5,52
Boldly,43947889,16,11
bill wurtz,43814313,23,39
Binging with Babish,43740776,42,54
JayRockVEVO,43409357,6,29
Lil Wayne,42913354,9,19
Ben Pluimer,42801449,13,15
SamSmithWorldVEVO,42736277,15,85
Mike Austin,42503849,9,12
Disney Movie Trailers,42465587,24,9
Butch Hartman,42233867,21,38
Netflix,41710723,95,17
OK Go,41183174,7,18
Hevesh5,41078824,36,16
Vanity Fair,40542008,56,37
Bon AppÃƒÂ©tit,39802953,71,25
CrazyRussianHacker,39791129,33,17
HaileeSteinfeldVEVO,39712033,9,89
Tide,39538681,10,36
HollywoodLife,39219073,19,3
Good Mythical Morning,38962432,57,8
James Charles,38915376,31,34
ZEDDVEVO,38631230,12,14
MLG Highlights,38629388,15,0
Adult Swim,38578045,8,26
Gerry Litwin,38140887,12,13
Atlantic Records,38120643,45,73
Shay Mitchell,37649692,13,11
Legendary,37558556,7,12
ESPN,37258928,96,5
Life Noggin,37238007,81,31
Linus Tech Tips,37092950,32,14
PitbullVEVO,36668491,10,19
Kitchen Nightmares,35983552,19,36
FallOutBoyVEVO,35972908,25,45
Alan Walker,35843928,33,66
RemyMaVEVO,35527167,25,7
shane,35413539,9,121
Tom Scott,35403212,88,40
JunsKitchen,35328417,24,159
The Dodo,34568943,61,51
Bleecker Street,34262015,16,4
Macklemore LLC,34127002,13,40
AsapSCIENCE,34023108,39,20
Pinball Wiz,33991190,9,91
Jackie Aina,33900092,48,55
NBC,33772031,15,2
NBA,33632887,94,9
5FDPVEVO,33501371,19,33
iKON,33246211,5,108
Fueled By Ramen,33174757,39,55
PBS NewsHour,33007379,24,9
Full Frontal with Samantha Bee,32973495,63,1
5MadMovieMakers,32955977,17,26
Tasty,32886324,48,36
ImagineDragonsVEVO,32668620,23,46
Dani Ochoa,32321375,12,29
Prime Video,32010035,5,8
Whistle Sports,32007446,12,39
Wendover Productions,31950182,43,29
The Daily Show with Trevor Noah,31574912,16,3
KhalidVEVO,31235543,16,66
TMZ,31007719,35,4
LadyGagaVEVO,30742191,15,49
All is Art,30618743,9,24
John Lewis,30557393,4,5
Rosanna Pansino,30425093,47,58
Mnet K-POP,29980157,7,54
HalseyVEVO,29834129,7,61
boogie2988,29282299,13,20
Jaiden Animations,28945742,10,76
INSIDER,28820579,80,39
TechSmartt,28795673,18,1
E! Entertainment,28668844,67,11
Doug DeMuro,28634203,28,20
Budweiser,28592638,7,5
The Verge,28373893,46,18
Breakfast Club Power 105.1 FM,28257462,38,5
The X Factor UK,28161814,13,52
Complex,28008346,27,18
amazon,27952435,10,9
You Suck At Cooking,27918671,31,28
The Official PokÃƒÂ©mon YouTube Channel,27453726,22,12
TinasheOfficialVEVO,27423391,16,37
Cut,27331565,37,58
Martin Garrix,27250257,7,81
jeffreestar,26703095,13,38
Groupon,26402350,7,4
The Voice,26215756,41,14
BURGER KING,26169061,8,12
Nike,25776205,10,14
the Hacksmith,25690388,12,24
Major Lazer,25516159,15,54
CNN,24910046,85,1
Domics,24613246,14,109
iJustine,24563977,63,10
PTXofficial,24557705,13,35
HvdH-Plane-Spotter,24475287,5,24
Lindsey Stirling,24248935,16,75
videogamedunkey,24159761,6,60
CalumScottVEVO,23905628,16,136
BBC News,23850270,54,6
Doug Ellison,23832561,13,14
The Food Ranger,23587884,29,25
itsAlexClark,23030539,31,38
William Osman,22948742,61,66
Inside Edition,22910839,66,10
Michelob ULTRA,22858318,5,2
Gus Johnson,22635550,44,20
Step Up: High Water,22447439,9,5
A Chick Called Albert,22324463,7,62
CrashRacing,22199905,8,16
MrBeast,22068205,7,15
ONE Media,22043556,21,2
TODAY,21983555,71,1
NFVEVO,21923445,9,57
Mr. Kate,21265089,24,90
Charlie Puth,21127388,12,74
Pitch Perfect,21021349,8,21
Brat,20658205,7,53
Open Road Films,20319703,7,14
TIME,20245899,48,2
Joey Graceffa,20183463,25,68
Primitive Technology,20018181,5,113
The Royal Family,19939567,9,8
Ultra Music,19749530,12,37
ProZD,19644543,15,15
Niki and Gabi,19531458,10,32
PlayOverwatch,19481778,15,31
Entertainment Tonight,19418099,49,3
ThreadBanger,19400625,22,84
Linkin Park,19353808,23,100
CBS News,19322495,55,1
Lil Peep,19266150,6,134
JonTronShow,19103910,6,49
KygoOfficialVEVO,19071153,7,76
Matthias,19048351,22,43
FrenchMontanaVEVO,18885554,7,27
JayZVEVO,18797516,5,10
TED-Ed,18690209,61,54
GraceVanderWaalVEVO,18562724,13,106
Kia Motors America,18470406,7,18
Dolan Twins,18305623,12,284
Cobra Kai,18277184,6,10
TechRax,18272347,12,5
AmazingPhil,18201915,14,182
MGM,18178781,5,7
GoPro,18077756,31,51
Simon's Cat,18019504,53,57
Half as Interesting,18013582,39,29
Guardian News,17923408,52,3
Camila Cabello,17817374,15,86
MLive,17672778,16,11
Washington Post,17644405,76,0
What's Inside?,17572083,14,4
Pepsi,17501532,11,2
Google,17218420,20,15
Jeremy Jahns,17197588,26,22
REACT,17058794,14,21
DJSnakeVEVO,17011865,7,68
Madelaine Petsch,16664356,34,201
Nerdwriter1,16602729,40,84
BLACKPINK,16524026,5,84
Rudimental,16427946,12,83
The White House,16403196,21,1
Austin Evans,16373151,35,25
The Infographics Show,16362800,28,11
Marzia,16227224,35,92
Matthias Wandel,16098820,19,9
Casually Explained,16086205,7,31
Focus Features,15953135,19,11
Highlight Heaven,15912747,15,14
Hope For Paws - Official Rescue Channel,15873226,29,78
Just Wow me,15864924,8,28
Tanner Braungardt,15722889,7,7
LOOK MUM NO COMPUTER,15703449,10,24
CBS This Morning,15691125,55,0
Zoella,15564653,19,33
Foot Locker,15409025,10,26
HellthyJunkFood,15348987,51,18
Jordan Wilson,15308631,9,21
Panic! At The Disco,15236171,12,104
CGP Grey,15155292,10,149
ElleOfTheMills,15147270,19,60
Muse,15128228,7,18
ABC Television Network,15095201,10,36
BBC,15051323,25,4
LouisTomlinsonVEVO,14971040,6,200
adidas Football,14964217,7,4
Taylor Nicole Dean,14789738,28,46
Adam Smith,14750793,6,14
Philip DeFranco,14748688,8,34
The New York Times,14660223,56,27
Maymo,14521677,9,10
Wengie,14437979,7,10
Taylor Swift,14422595,23,57
Chris Rosa,14377600,5,12
Bobby Duke Arts,14353823,14,49
Apple,14352460,13,6
Team Edge,14290845,12,44
JerryRigEverything,14285718,35,40
littlemixVEVO,14241026,10,108
Simply Not Logical,14186497,17,96
Attaullah Malik,14177068,8,1
BrasherN,14114169,7,13
Team Coco,14091303,21,7
Tech Insider,14029022,25,23
Land Rover,14019124,7,42
HarryStylesVEVO,13938107,6,87
The View,13901806,56,2
Blonded,13899991,7,40
Great Big Story,13713854,72,64
FaZe Rug,13665892,8,5
A24,13474924,13,24
Poppy,13460462,24,10
AnthonyPadilla,13416350,49,36
NJ.com,13321604,18,1
Clevver News,13265810,28,3
iggyazaleamusicVEVO,13219515,7,11
Chilly Willy,13124922,8,66
SciShow,13120406,52,26
Colleen Ballinger,12948464,8,27
CHRIS-RS,12914827,6,101
Morgan Adams,12788114,15,54
NFL Network,12777656,9,22
The Grand Tour,12717282,23,27
Chris Stuckmann,12599925,20,17
Red Bull,12569658,26,70
ShawnMendesVEVO,12501077,8,186
Graham The Christian,12484874,7,8
AviciiOfficialVEVO,12421837,6,56
JheneAikoVEVO,12361863,6,68
BuzzFeedBlue,12339070,15,1
PlayStation,12312195,6,72
Lauv,12255131,13,153
vlogbrothers,12230458,56,53
Diplo,12222339,13,47
CalvinHarrisVEVO,12113607,10,6
Mike Boyd,12026638,20,101
Today I Found Out,11989085,19,14
Queen Naija,11969982,12,100
TBS,11950727,14,16
Tati,11804521,15,33
NBC News,11780242,62,1
Sam Chui,11779203,6,10
Ryan Canty,11715543,5,18
Oscars,11704560,8,3
Omeleto,11656567,14,8
Kylie Cosmetics,11654705,8,24
U2VEVO,11651587,29,6
Doctor Who,11648381,9,5
PokÃƒÂ©mon GO,11537586,7,10
Glamour Magazine,11532705,8,49
Looper,11484255,13,8
Movieclips Trailers,11481232,23,0
GQ,11399137,17,26
VICELAND,11359237,10,4
CBS Films,11322404,4,12
IGN,11286529,33,15
Mr Sunday Movies,11271625,14,56
Hayley Kiyoko,11254749,6,100
Horizon Productions SFL,11218319,9,16
Mark Sales,11206205,9,13
PHP,10962577,5,5
Chris Smoove,10949107,17,38
BBC Three,10911332,18,29
BANGTANTV,10902829,5,376
How To Cake It,10862282,23,77
BuzzFeed Celeb,10812563,11,19
Brent Pella,10586842,8,17
AlishaMarie,10561515,9,88
Variety,10504555,27,0
Ben Actis,10455839,8,35
Desi Perkins,10421452,22,54
Jaclyn Hill,10384088,12,32
National Geographic,10369604,41,14
SmarterEveryDay,10344595,15,44
Channel Awesome,10333649,18,22
Capital FM,10317977,9,16
Miranda Sings,10273595,25,23
Will Smith,10204003,17,75
Natalies Outlet,10180105,6,117
Colleen Vlogs,10127882,19,16
Lyft,10113686,9,23
Cracked,10051250,26,14
colinfurze,9909809,12,59
Rooster Teeth,9827843,13,21
Glam&Gore,9775183,24,102
Rob Bliss,9701123,7,22
ABC News,9666836,70,1
Beyonce,9578073,5,9
theneedledrop,9574670,30,11
Grace Helbig,9487102,52,60
ChrisBrownVEVO,9361727,7,40
FC Barcelona,9270318,29,42
Zebra Corner,9268406,6,32
wdwmagic,9265854,10,1
Inanna Sarkis,9252139,7,24
Karina Garcia,9219130,6,38
Cards Against Humanity,9186934,8,2
Amber Scholl,9165810,25,28
TheReportOfTheWeek,9124684,16,11
Alissa Ashley,9094406,26,69
Simone Giertz,9089748,25,20
Battle Universe!,9051461,11,12
Veritasium,9051086,14,88
Australian Open TV,9035474,17,26
Let Me Explain Studios,9030647,6,42
Munchies,8999805,20,40
Fox News,8989940,29,3
Watch What Happens Live with Andy Cohen,8954852,66,1
Sprinkleofglitter,8952248,16,78
NoahCyrusVEVO,8938720,9,34
Orion Pictures,8933850,7,7
Duston Ward,8898135,8,19
TromaMovies,8823516,8,8
Green Day,8817596,11,46
Ranz Kyle,8676032,16,126
Rella On the radio,8629097,5,33
Jason Derulo,8524177,4,21
SeanPaulVEVO,8502127,6,65
thegameawards,8454016,6,17
Amazon Studios,8395216,17,6
KBSKpop,8346693,8,38
MasterClass,8291604,4,108
Zendaya,8234661,7,88
The 2x Family,8200751,6,48
David Guetta,8199225,6,27
KathleenLights,8171877,18,71
Disney Descendants,8158025,6,8
Manny Mua,8104400,6,41
Jonathan Morrison,8103086,20,13
KBAK - KBFX - Eyewitness News - BakersfieldNow,8080063,8,28
NASA Jet Propulsion Laboratory,8056076,8,24
Revolt TV,8055481,8,15
The Action Lab,8054309,5,6
RealLifeLore,7989911,18,25
Lip Sync Battle,7862787,34,19
HOT 97,7850299,6,115
ABC Action News,7848153,9,7
Alesso,7786569,7,17
The Weather Channel,7784540,9,34
theCHIVE,7706805,8,14
AnselElgortVEVO,7590243,6,81
Guy Tang,7508430,7,22
Ellie and Jared,7457580,13,29
Tyler Oakley,7446840,36,51
Clevver Style,7445122,14,14
How To Cook That,7427326,30,39
Brian Hull,7407313,24,27
Ã£Æ’Â¯Ã£Æ’Â¼Ã£Æ’Å Ã£Æ’Â¼ Ã£Æ’â€“Ã£Æ’Â©Ã£â€šÂ¶Ã£Æ’Â¼Ã£â€šÂ¹ Ã¥â€¦Â¬Ã¥Â¼ÂÃ£Æ’ÂÃ£Æ’Â£Ã£Æ’Â³Ã£Æ’ÂÃ£Æ’Â«,7389323,6,25
KBS World TV,7361683,3,101
euronews (in English),7353875,25,7
Big Marvel,7323283,15,82
ASMR Darling,7316390,7,15
C-SPAN,7308845,28,3
Daniel Howell,7298244,4,234
Dorkly,7276493,6,27
The School of Life,7242558,32,25
Leroy Sanchez,7219025,12,179
BÃƒËœRNSmusicVEVO,7190304,14,55
Kaplamino,7173978,9,156
Freddie Lister,7151971,7,8
NickJonasVEVO,7069856,25,64
Recording Academy / GRAMMYs,7054634,7,4
JasonAldeanVEVO,7044089,7,28
E! Live from the Red Carpet,7042359,13,12
Candide Thovex,6997284,6,99
dope2111,6915252,4,18
ThirtySecondsToMarsVEVO,6900112,8,24
NBC Sports,6839205,24,9
The Bella Twins,6826745,16,45
RM Videos,6824468,43,11
MN khan,6802599,5,5
Jenny Nicholson,6761567,42,11
RAP DAILY,6732940,7,4
PsychoSoprano,6722392,11,54
Patricia Bright,6707897,10,39
Carla Resendiz,6692044,8,23
carrieunderwoodVEVO,6677347,6,17
NiallHoranVEVO,6658698,10,161
FailArmy,6610961,3,8
hp_overload,6599794,7,7
HowToBasic,6599715,3,8
BRIGHT SIDE,6582622,5,9
Howl Of A Dog,6549569,5,81
BBC Earth,6482422,40,20
Nick Ramos,6436629,5,0
JOLLY,6411264,22,46
SB-LII Commercials,6377720,9,11
Australia,6365560,9,20
JackWhiteVEVO,6361229,12,10
ELLE,6332596,11,82
Wendy Williams,6306370,22,4
The Real Daytime,6266151,25,14
NBA on TNT,6262486,7,15
Avocado,6245242,2,22
Cole and Marmalade,6205719,16,52
Chloe x Halle,6178272,17,18
Simon and Martina,6173193,24,40
SUPERFRUIT,6137973,15,49
matt,6110345,8,16
KaneBrownVEVO,6086269,15,25
"But First, Coffee",6073847,3,70
Refinery29,6068962,91,9
Lisa Eldridge,6054114,19,90
TheBackyardScientist,6037569,7,10
UrAvgConsumer,6017708,8,16
MiguelVEVO,6006029,11,93
ViralHog,5979781,36,20
Ã¬ËœÂÃªÂµÂ­Ã«â€šÂ¨Ã¬Å¾Â Korean Englishman,5963784,6,57
RedCurtainEnt,5961158,3,10
Patrick Nan,5960191,5,139
The Telegraph,5940518,8,2
Klossy,5933371,17,95
DisneyMusicVEVO,5916587,7,39
sWooZie,5913141,5,28
Zero Media,5869635,3,17
Bethany Mota,5849270,5,62
iHasCupquake,5823433,7,53
Strictly Dumpling,5809054,8,22
The Pet Collective,5730942,9,24
ChrisStapletonVEVO,5720718,20,23
Guava Juice,5706756,6,7
Fifty Shades,5697328,3,5
Wong Fu Productions,5643111,20,59
ConnorFranta,5614775,32,99
Rclbeauty101,5599488,8,31
MoreZoella,5596985,6,99
ÃÂÃÂ»ÃÂµÃÂºÃ‘ÂÃÂµÃÂ¹ ÃÂÃÂ°ÃÂ²ÃÂ°ÃÂ»Ã‘Å’ÃÂ½Ã‘â€¹ÃÂ¹,5579079,1,5
KylieMinogueOnVEVO,5572363,6,25
Jesse,5529291,8,50
ThreeDaysGraceVEVO,5527420,7,44
ABC7,5506919,7,18
ALL URBAN CENTRAL,5491645,8,14
BachelorsPadTv,5489920,6,33
Tia Mowry's Quick Fix,5489420,6,34
Mashed,5488331,7,11
Paramount Network,5482985,8,0
JamesAVEVO,5465397,5,154
Noah Nicholls,5444065,4,30
Maddie Ziegler,5432939,11,96
Food Wishes,5405852,24,32
